track_name,artist_name,artist_genres
Hekaya,El Waili,"egyptian hip hop, arabic hip hop, egyptian pop, mahraganat"
L Awl,El Waili,"egyptian hip hop, arabic hip hop, egyptian pop, mahraganat"
la2,El Waili,"egyptian hip hop, arabic hip hop, egyptian pop, mahraganat"
Al Origami,El Waili,"egyptian hip hop, arabic hip hop, egyptian pop, mahraganat"
Leltak Fol,El Waili,"egyptian hip hop, arabic hip hop, egyptian pop, mahraganat"
Love From U,Ericovich,nightcore
Mafiish,El Waili,"egyptian hip hop, arabic hip hop, egyptian pop, mahraganat"
Mnml,El Waili,"egyptian hip hop, arabic hip hop, egyptian pop, mahraganat"
Mstny,El Waili,"egyptian hip hop, arabic hip hop, egyptian pop, mahraganat"
MTSR74,El Waili,"egyptian hip hop, arabic hip hop, egyptian pop, mahraganat"
Lie To Girls,Sabrina Carpenter,pop
Taste,Sabrina Carpenter,pop
Coincidence,Sabrina Carpenter,pop
Don’t Smile,Sabrina Carpenter,pop
Dumb & Poetic,Sabrina Carpenter,pop
Espresso,Sabrina Carpenter,pop
Good Graces,Sabrina Carpenter,pop
Juno,Sabrina Carpenter,pop
Bed Chem,Sabrina Carpenter,pop
Breathe Me In,Besomorph,slap house
Please Please Please,Sabrina Carpenter,pop
Sharpest Tool,Sabrina Carpenter,pop
Slim Pickins,Sabrina Carpenter,pop
i know - Omido Remix,Ex Habit,dark r&b
因果(Karma Code),攬佬SKAI ISYOURGOD,chinese hip hop
L'Amour Toujours,Reprobeater,hypertechno
Memories,AFRONOM,afro house
Raise The Red Flag,Marilyn Manson,"industrial metal, industrial rock, industrial, metal, nu metal"
Devil I've Been (Feat. ERNEST),Post Malone,"pop, hip hop, country"
Finer Things (Feat. Hank Williams Jr.),Post Malone,"pop, hip hop, country"
Goes Without Saying (Feat. Brad Paisley),Post Malone,"pop, hip hop, country"
Guy For That (Feat. Luke Combs),Post Malone,"pop, hip hop, country"
Have The Heart (Feat. Dolly Parton),Post Malone,"pop, hip hop, country"
Hide My Gun (Feat. HARDY),Post Malone,"pop, hip hop, country"
I Had Some Help (Feat. Morgan Wallen),Post Malone,"pop, hip hop, country"
Wrong Ones (Feat. Tim McGraw),Post Malone,"pop, hip hop, country"
Yours,Post Malone,"pop, hip hop, country"
What Don't Belong To Me,Post Malone,"pop, hip hop, country"
Pour Me A Drink (Feat. Blake Shelton),Post Malone,"pop, hip hop, country"
Right About You,Post Malone,"pop, hip hop, country"
Losers (Feat. Jelly Roll),Post Malone,"pop, hip hop, country"
M-E-X-I-C-O (Feat. Billy Strings),Post Malone,"pop, hip hop, country"
Missin’ You Like This (Feat. Luke Combs),Post Malone,"pop, hip hop, country"
Never Love You Again (Feat. Sierra Ferrell),Post Malone,"pop, hip hop, country"
New Woman (feat. ROSALÍA),LISA,k-pop
Nosedive (Feat. Lainey Wilson),Post Malone,"pop, hip hop, country"
California Sober (Feat. Chris Stapleton),Post Malone,"pop, hip hop, country"
I'll Just Say It,Jana Diab,egyptian pop
Love Me Not,Ravyn Lenae,"alternative r&b, indie soul"
Take A Bite,beabadoobee,bedroom pop
Underwater,Kremor,"slap house, hypertechno"
LIFETIMES,Katy Perry,pop
Stargazing,midnight Berlin,hypertechno
"Good Luck, Babe!",midnight Berlin,hypertechno
ENEMIES (feat. bludnymph & Shift K3Y),Gryffin,"edm, melodic bass"
As Sick As The Secrets Within,Marilyn Manson,"industrial metal, industrial rock, industrial, metal, nu metal"
Liebe teilen,Lena&Linus,"german indie, german indie pop, german pop"
Touch,KATSEYE,k-pop
Space In My Arms,Now O Later,hypertechno
Nasty Nasty,Rumelis,dark r&b
Only You - Re-Recorded,The Platters,doo-wop
I Adore You (feat. Daecolm),HUGEL,"latin house, afro house, techengue"
Who,Jimin,k-pop
Teenage Dirtbag,BRAN,"afro house, slap house"
KEEP UP,Odetari,"hyperpop, nightcore"
Houdini,Eminem,"rap, hip hop"
Sexy to Someone,Clairo,bedroom pop
Survivor - Techno,Emilio,hypertechno
Big Dawgs,Hanumankind,"malayalam hip hop, desi hip hop"
I Really Want To Stay at Your House,Cour,slap house
Good Girl,BURY,dark r&b
Good Girl - Sped up,BURY,dark r&b
All I Want,Oscen,dark r&b
"Sugar, We're Going Down",Tweekacore,"happy hardcore, hardstyle"
Shivers,K3YN0T3,hypertechno
Secrets,Hypermorph,hypertechno
Buzzin',lagosta,emo rap
Umbrella,BEAUZ,hard techno
Collide,PuFFcorn,future house
Rockstar,LISA,k-pop
KEHLANI,Jordan Adetunji,sexy drill
Can't Forget You,LUM!X,"slap house, melbourne bounce"
the boy is mine,Ariana Grande,pop
The Future Is A Foreign Land,Ghost,"metal, hard rock"
Si Antes Te Hubiera Conocido,KAROL G,"reggaeton, latin, urbano latino"
KEHLANI (REMIX) [feat. Kehlani],Jordan Adetunji,sexy drill
teen romance,Lil Peep,"emo rap, cloud rap"
Cheerleader,Lexdez,"melodic bass, future bass"
Mean girls,Charli xcx,"hyperpop, art pop"
Move,Adam Port,"afro house, house, afro tech"
Club classics,Charli xcx,"hyperpop, art pop"
Escape Plan,Jana Diab,egyptian pop
Everything is romantic,Charli xcx,"hyperpop, art pop"
"Girl, so confusing",Charli xcx,"hyperpop, art pop"
YAD,Vanna Rainelle,dark r&b
Sympathy is a knife,Charli xcx,"hyperpop, art pop"
Talk talk,Charli xcx,"hyperpop, art pop"
